Down,Distance,Yardline,EPA
2,9,94,-0.812348
2,7,94,-0.60222
2,4,94,-0.0237869
2,2,94,-0.302142
2,1,94,-0.0159263
3,20,94,-2.28288
3,18,94,-2.76645
3,16,94,-2.28933
3,13,94,-1.84509
3,11,94,-1.62925
3,10,94,-2.12272
3,9,94,-1.8784
3,8,94,-1.75811
3,6,94,-1.35132
3,5,94,-0.974623
3,4,94,-0.814831
3,2,94,-0.808072
3,7,98,-2.08314
3,1,94,-0.622989
4,18,94,-4.4882
4,16,94,-4.48168
4,13,94,-4.01439
4,12,94,-3.69552
4,9,94,-3.64048
4,5,94,-2.7019
4,3,94,-2.98401
4,1,94,-1.55836
1,19,93,-0.6307
1,17,93,-0.775003
1,15,93,-0.425237
1,13,93,-0.684337
1,7,93,-0.298324
1,4,93,0.0691831
1,2,93,-0.125297
1,1,93,-0.056304
2,20,93,-1.33415
2,17,93,-1.29124
2,16,93,-1.68995
2,15,93,-1.4455
2,14,93,-1.04489
2,13,93,-1.0577
2,10,93,-0.526711
2,7,93,-0.423597
2,4,93,0.135936
2,2,93,-0.271973
2,1,93,0.165072
3,20,93,-2.47026
3,18,93,-2.72325
3,16,93,-2.31621
3,13,93,-1.82942
3,11,93,-1.94275
3,10,93,-1.50661
3,9,93,-1.82332
3,8,93,-1.4752
3,6,93,-1.47519
3,5,93,-0.970142
3,4,93,-1.09028
3,2,93,-0.431265
3,7,97,-2.12298
3,1,93,-0.241803
4,16,93,-4.3933
4,13,93,-3.42171
4,12,93,-3.81228
4,9,93,-3.34306
4,5,93,-2.4603
4,3,93,-2.94511
4,11,96,-3.60925
4,2,93,-1.73701
4,1,93,-2.02623
1,19,92,-0.514746
1,17,92,-0.754434
1,15,92,-0.653713
1,13,92,-0.191396
1,7,92,0.0749857
1,4,92,0.159181
1,2,92,0.057427
1,1,92,0.15074
2,20,92,-1.33967
2,17,92,-1.37147
2,16,92,-1.31622
2,15,92,-1.26599
2,14,92,-1.03931
2,13,92,-0.80589
2,10,92,-0.818082
2,7,92,-0.475055
2,4,92,0.0109574
2,2,92,0.224185
2,1,92,0.112224
3,20,92,-2.36141
3,18,92,-2.40168
3,16,92,-2.49834
3,13,92,-1.55236
3,11,92,-1.94035
3,10,92,-1.59331
3,9,92,-1.78127
3,8,92,-1.56819
3,6,92,-1.09347
3,5,92,-0.805745
3,4,92,-0.861215
3,2,92,-0.159345
3,7,96,-1.90315
3,1,92,-0.331479
4,16,92,-4.44361
4,13,92,-3.5408
4,12,92,-3.43782
4,9,92,-3.03404
4,5,92,-1.89161
