Down,Distance,Yardline,EPA
1,20,99,-1.69857
1,19,99,-1.37455
1,15,99,-0.952813
1,13,99,-0.824588
1,10,99,-0.703051
1,7,99,-0.60009
1,4,99,-0.279476
1,3,99,-0.545276
1,2,99,-0.456442
1,1,99,-0.29347
3,2,99,-0.855156
1,20,98,-1.67209
1,19,98,-1.22477
1,15,98,-1.1068
1,13,98,-0.799332
1,10,98,-0.2494
1,7,98,-0.338874
1,4,98,-0.385098
1,3,98,-0.267068
1,2,98,-0.250429
1,1,98,-0.200464
2,2,99,-0.487365
2,2,98,-0.426679
3,2,98,-0.467408
4,3,99,-2.93751
3,1,98,-0.397112
4,1,98,-1.12423
1,20,97,-1.237
1,19,97,-0.799932
1,17,97,-0.765455
1,15,97,-0.722423
1,13,97,-0.773109
1,7,97,-0.13742
1,4,97,-0.0121674
1,3,97,-0.22305
2,4,98,-0.084632
1,2,97,-0.272098
1,10,97,-0.42356
1,1,97,-0.238555
2,3,99,-0.783373
3,4,99,-1.16321
3,2,97,-0.405841
4,3,98,-2.6249
3,1,97,-0.533894
1,20,96,-1.14132
2,22,98,0
1,19,96,-1.19207
1,17,96,-0.70181
1,15,96,-0.545993
1,13,96,-0.630837
1,7,96,-0.0978222
1,4,96,-0.220652
1,3,96,-0.0838191
2,4,97,-0.177202
1,2,96,-0.286013
1,10,96,-0.214946
1,1,96,-0.228024
2,2,97,-0.20595
2,4,99,-0.396441
2,3,98,-0.454489
3,9,99,-2.1424
3,5,99,-1.60404
3,4,98,-0.967892
4,7,98,-3.29741
4,5,98,-3.08035
4,5,99,-3.49489
3,1,96,-0.315901
4,1,96,-1.18399
1,19,95,-0.97323
2,23,99,0
1,17,95,-0.609365
2,20,99,-1.99553
1,15,95,-0.4642
2,18,98,-2.00225
1,13,95,-0.489059
2,13,98,-1.25715
1,7,95,-0.00432563
2,7,97,-0.490484
1,4,95,-0.106314
2,8,99,-1.02165
1,1,95,-0.0502699
2,3,97,-0.373443
2,2,96,-0.233978
3,15,99,-2.94517
3,4,96,-1.02968
3,4,97,-1.03502
3,5,98,-1.3398
3,2,96,-0.517415
4,9,97,-3.2695
4,7,97,-3.36963
4,1,95,-1.34175
1,19,94,-0.72004
2,23,98,0
1,17,94,-0.794274
1,15,94,-0.449457
1,13,94,-0.383423
2,17,99,-1.5196
2,13,97,-1.07938
2,13,99,-1.27442
1,14,97,-0.750081
2,6,99,-0.960947
2,8,97,-0.646039
2,7,96,-0.582707
1,4,94,-0.0284061
1,14,99,-0.895983
2,6,97,-0.533262
1,14,96,-0.586638
2,8,98,-0.591258
2,6,98,-0.811033
