Down,Distance,Yardline,EPA
1,20,99,-0.119005
1,19,99,-0.130631
1,18,99,-0.138768
1,17,99,-0.188033
1,15,99,-0.181992
1,13,99,0.324843
1,12,99,-0.0654772
1,10,99,0.22233
1,9,99,0.481854
1,7,99,0.624598
1,4,99,1.76524
1,3,99,1.4559
1,2,99,2.0636
1,1,99,2.51214
2,20,99,-0.058476
2,18,99,-0.17578
2,17,99,-0.161867
2,16,99,-0.0319538
2,15,99,-0.0970219
2,13,99,0.321766
2,10,99,0.227722
2,8,99,0.405785
2,7,99,0.527719
2,4,99,1.6033
2,3,99,1.23938
2,2,99,2.04037
2,1,99,1.94745
3,20,99,-0.0785311
3,16,99,-0.167715
3,15,99,-0.16362
3,13,99,0.0630417
3,11,99,0.0505905
3,10,99,0.0367129
3,9,99,0.376075
3,8,99,0.301351
3,5,99,0.796717
3,4,99,1.41955
3,2,99,1.95791
3,1,99,2.06003
4,17,99,-0.08
4,16,99,-0.206389
4,15,99,-0.12
4,14,99,-0.0211448
4,13,99,-0.0619282
4,12,99,-0.312833
4,9,99,0.182612
4,8,99,0.0708857
4,7,99,0.189733
4,5,99,0.454061
4,3,99,0.716299
4,1,99,1.97781
1,20,98,-0.0738142
1,19,98,0.168572
1,18,98,0.0398204
1,17,98,-0.0376652
1,15,98,-0.00260643
1,13,98,0.443601
1,12,98,0.24777
1,10,98,0.355409
1,9,98,0.527559
1,7,98,0.791087
1,4,98,1.72066
1,3,98,1.5777
1,2,98,1.8481
1,1,98,2.38689
2,20,98,-0.0960854
2,18,98,0.0302595
2,17,98,-0.00218306
2,16,98,-0.0264684
2,15,98,-0.126873
2,13,98,0.370919
2,10,98,0.403826
2,7,98,0.609575
2,4,98,1.75386
2,3,98,1.25969
2,2,98,2.16967
2,1,98,2.11427
3,20,98,-0.135254
3,16,98,-0.036312
3,15,98,-0.124145
3,13,98,0.245098
3,11,98,0.0923768
3,10,98,0.19783
3,9,98,0.460276
3,8,98,0.310062
3,5,98,0.950747
3,4,98,1.43127
3,2,98,2.08987
3,1,98,2.19589
4,17,98,-0.0450375
4,16,98,-0.0886583
4,15,98,-0.14
4,14,98,0.0403023
4,13,98,0.0489492
4,12,98,-0.00697925
4,9,98,0.194347
4,8,98,0.245863
4,7,98,0.0325776
4,5,98,0.4489
4,3,98,0.817581
4,1,98,2.06845
1,20,97,0.0416519
1,19,97,0.0809954
1,18,97,0.0412825
1,17,97,0.124456
1,15,97,0.121453
1,13,97,0.44198
1,12,97,0.302455
1,7,97,0.611342
1,4,97,1.62391
1,3,97,1.7352
1,2,97,2.16958
1,10,97,0.503303
1,1,97,2.45634
2,20,97,-0.0509801
2,18,97,0.0252158
2,17,97,0.062877
2,16,97,0.0493515
2,15,97,-0.085819
2,13,97,0.362823
2,12,97,0.213851
2,10,97,0.39924
2,6,99,0.754112
1,14,97,0.135972
2,8,97,0.590812
2,7,97,0.63573
1,14,99,0.134605
2,6,97,0.843624
2,4,97,1.73733
2,3,97,1.44715
2,2,97,2.1055
2,1,97,2.32029
3,20,97,-0.014389
3,16,97,0.0123376
3,15,97,-0.148637
3,13,97,0.274105
3,11,97,0.144029
3,10,97,0.250987
3,9,97,0.350183
3,8,97,0.556957
3,5,97,1.07948
3,4,97,1.44242
3,2,97,2.10381
3,1,97,2.21718
4,17,97,-0.0107326
4,16,97,-0.0050472
4,15,97,-0.06
4,13,97,0.0292722
4,12,97,0.060594
4,9,97,0.209099
4,8,97,0.36914
4,7,97,0.183881
4,5,97,0.707135
4,1,97,1.73441
1,20,96,0.0684435
1,19,96,0.0976076
1,18,96,-0.0017851
1,17,96,0.110535
1,15,96,0.1263
2,8,98,0.50661
2,6,98,0.692849
1,14,96,0.271639
1,13,96,0.412541
1,12,96,0.213475
1,9,96,0.728228
1,7,96,0.796602
1,4,96,1.84067
1,3,96,1.74563
1,2,96,2.10509
1,10,96,0.505205
1,1,96,2.33521
2,20,96,0.0338034
2,18,96,0.051108
2,17,96,0.0795647
2,16,96,0.0331767
2,15,96,-0.0131358
2,13,96,0.393946
2,12,96,0.183405
2,10,96,0.430351
2,7,96,0.751716
1,14,98,0.19574
2,8,96,0.601288
2,6,96,0.886851
2,4,96,1.81127
2,3,96,1.48509
2,2,96,2.1737
2,1,96,2.32759
3,20,96,0.00742373
3,16,96,0.0360056
3,13,96,0.330744
3,11,96,0.215971
3,10,96,0.306889
3,9,96,0.363528
3,8,96,0.55468
3,5,96,0.966915
3,4,96,1.37123
3,2,96,2.12969
3,1,96,2.26372
4,17,96,0.000815458
4,16,96,-0.0221074
4,15,96,-0.12
4,13,96,0.0366244
4,12,96,0.0157729
4,9,96,0.234088
4,8,96,0.349235
4,7,96,0.144529
4,5,96,0.479585
4,1,96,2.0645
1,19,95,0.238617
1,17,95,0.160915
1,15,95,0.578962
1,13,95,0.397692
1,7,95,0.808672
1,4,95,1.76521
1,2,95,2.18495
1,1,95,2.49228
2,20,95,0.0326427
2,17,95,0.0644504
2,16,95,0.0683367
2,15,95,0.0782062
2,14,95,0.271117
2,13,95,0.398857
2,10,95,0.425781
2,9,95,0.53439
2,7,95,0.685338
2,4,95,1.68126
2,2,95,2.23466
2,1,95,2.3407
3,20,95,0.015063
3,18,95,0.0469338
3,16,95,0.0248992
3,13,95,0.332261
3,11,95,0.207337
3,10,95,0.290954
3,9,95,0.411759
3,8,95,0.599449
3,6,95,0.615245
3,5,95,0.979074
3,4,95,1.47175
3,2,95,2.14909
3,7,99,0.409552
3,1,95,2.32575
4,16,95,0.0100225
4,13,95,0.0331967
4,12,95,0.0698605
4,9,95,0.188683
4,5,95,0.574209
4,3,95,0.942256
4,2,95,1.71484
4,1,95,1.95237
1,19,94,0.120906
1,17,94,0.14439
1,15,94,0.320804
1,13,94,0.440083
1,7,94,0.906054
1,4,94,1.80343
1,2,94,2.20064
1,1,94,2.23096
2,20,94,0.0454064
2,17,94,0.0958304
2,16,94,0.107477
2,15,94,0.0920027
2,14,94,0.247487
2,13,94,0.397866
2,10,94,0.473489
2,9,94,0.519871
2,7,94,0.78172
2,4,94,1.88399
2,2,94,2.03353
2,1,94,2.315
3,20,94,0.00850299
3,18,94,0.0661852
3,16,94,0.0619518
3,13,94,0.349794
3,11,94,0.25282
3,10,94,0.319861
3,9,94,0.44074
3,8,94,0.623701
3,6,94,0.765788
3,5,94,1.00269
3,4,94,1.35473
3,2,94,2.15458
3,7,98,0.40237
3,1,94,2.30409
4,18,94,0.00326795
4,16,94,0.00631689
4,13,94,0.0168994
4,12,94,0.0829409
4,9,94,0.200349
4,5,94,0.637512
4,3,94,0.912861
4,1,94,2.21016
1,19,93,0.122885
1,17,93,0.15868
1,15,93,0.213965
1,13,93,0.402735
1,7,93,0.901814
1,4,93,1.8433
1,2,93,2.22544
1,1,93,2.5767
2,20,93,0.0439141
2,17,93,0.111609
2,16,93,0.0914878
2,15,93,0.119401
2,14,93,0.244225
2,13,93,0.460642
2,10,93,0.549204
2,7,93,0.800085
2,4,93,1.69635
2,2,93,2.33466
2,1,93,2.48876
3,20,93,0.0138679
3,18,93,0.0458072
3,16,93,0.0569543
3,13,93,0.300638
3,11,93,0.252757
3,10,93,0.384442
3,9,93,0.436958
3,8,93,0.629099
3,6,93,0.726149
3,5,93,1.02234
3,4,93,1.50233
3,2,93,2.12556
3,7,97,0.469633
3,1,93,2.47431
4,16,93,0.0111908
4,13,93,0.0339733
4,12,93,0.0806042
4,9,93,0.142351
4,5,93,0.521212
4,3,93,1.07508
4,11,96,0.0536574
4,2,93,1.70992
4,1,93,2.10468
1,19,92,0.140849
1,17,92,0.165674
1,15,92,0.223087
1,13,92,0.40553
1,7,92,0.760426
1,4,92,1.85663
1,2,92,2.08008
1,1,92,2.52687
2,20,92,0.0530441
2,17,92,0.107104
2,16,92,0.0943907
2,15,92,0.149684
2,14,92,0.267467
2,13,92,0.445206
2,10,92,0.502564
2,7,92,0.793574
2,4,92,1.83689
2,2,92,2.15892
2,1,92,2.61195
3,20,92,0.0182659
3,18,92,0.0506089
3,16,92,0.0826587
3,13,92,0.289855
3,11,92,0.30204
3,10,92,0.414323
3,9,92,0.467537
3,8,92,0.616843
3,6,92,0.708069
3,5,92,0.990851
3,4,92,1.31821
3,2,92,2.10631
3,7,96,0.493432
3,1,92,2.52693
4,16,92,0.0776064
4,13,92,0.0863718
4,12,92,0.0823427
4,9,92,0.197225
4,5,92,0.574478
4,3,92,1.01054
4,11,97,-0.0133283
4,2,92,1.52582
4,1,92,2.16619
1,19,91,0.144333
1,17,91,0.195411
1,15,91,0.5093
1,13,91,0.45591
1,7,91,0.934268
1,4,91,1.65718
1,2,91,2.21826
1,1,91,2.57052
2,20,91,0.0594329
2,17,91,0.119782
2,16,91,0.101694
2,15,91,0.164952
2,14,91,0.303493
2,13,91,0.462092
2,10,91,0.674877
2,7,91,0.792577
2,4,91,1.70584
2,2,91,2.18476
2,1,91,2.64376
3,20,91,0.0131218
3,18,91,0.0575652
3,16,91,0.139305
4,18,97,-0.174866
3,13,91,0.285704
3,11,91,0.269975
3,10,91,0.405333
3,9,91,0.432355
3,8,91,0.682579
3,6,91,0.74015
3,5,91,1.00507
3,4,91,1.58782
3,2,91,2.12361
3,1,91,2.49744
4,16,91,0.0131876
4,13,91,0.0550375
4,12,91,0.114547
4,9,91,0.163947
4,5,91,0.518463
4,3,91,1.04915
4,1,91,2.13673
1,19,90,0.153173
1,17,90,0.221729
1,15,90,0.669105
1,13,90,0.52583
1,7,90,0.94544
1,4,90,1.89255
1,2,90,2.01656
1,1,90,2.59104
1,9,62,1.03284
2,18,90,0.0893041
2,15,90,0.162253
2,13,90,0.464727
2,7,43,1.39641
2,12,90,0.313586
2,7,90,0.822616
2,8,74,0.838211
1,14,72,0.419575
2,6,90,0.968793
4,20,41,0
2,5,90,1.42715
3,3,19,3.19115
3,17,60,0.284382
3,19,90,0.038612
3,16,90,0.0675637
4,7,59,0.744587
3,15,90,0.0883049
4,18,96,0.00268293
3,13,90,0.310562
3,6,90,0.797334
3,1,90,2.42277
3,12,73,0.364036
4,14,90,0.0981294
4,12,90,0.0747114
4,9,90,0.143545
4,5,90,0.545392
4,3,90,1.02425
4,1,90,2.06361
4,14,31,0.310359
4,6,60,0.876716
1,20,89,0.0993052
1,13,89,0.407175
4,15,39,0.028498
1,12,89,0.408188
1,8,61,1.19613
4,10,66,0.45256
1,11,89,0.502372
2,18,57,0.138562
1,18,75,0.306979
1,9,89,0.788647
4,10,38,0.419357
1,8,89,0.827838
1,4,89,1.86886
1,1,89,2.56109
1,9,57,1.1196
2,18,89,0.0841597
2,15,89,0.167596
2,13,89,0.467815
2,7,36,1.68274
2,12,89,0.308569
2,7,89,0.88463
2,8,55,1.10201
1,14,75,0.457942
2,6,89,1.04075
4,20,42,0
2,5,89,1.40591
