Down,Distance,Yardline,EPA
1,20,99,0.551137
1,19,99,0.0180087
1,18,99,-0.815812
1,17,99,-0.270837
1,15,99,0.240372
1,13,99,0.887368
1,12,99,-0.552633
1,10,99,0.519546
1,9,99,0.949711
1,7,99,0.471082
1,4,99,1.54106
1,3,99,1.43184
1,2,99,2.08081
1,1,99,2.39606
2,20,99,0.552452
2,18,99,0.116652
2,17,99,0.132006
2,16,99,0.212696
2,15,99,0.0329489
2,13,99,0.401119
2,10,99,0.497798
2,8,99,0.637511
2,7,99,0.584571
2,4,99,1.4916
2,3,99,1.23647
2,2,99,2.19886
2,1,99,2.37604
3,20,99,0.78069
3,16,99,0.0480998
3,15,99,-0.23337
3,13,99,0.315673
3,11,99,0.355252
3,10,99,0.145461
3,9,99,1.0284
3,8,99,0.102921
3,5,99,1.33
3,4,99,1.05973
3,2,99,2.21141
3,1,99,2.35554
4,17,99,0
4,16,99,0
4,15,99,-0.2
4,14,99,-2
4,13,99,-0.239645
4,12,99,0
4,9,99,-2
4,8,99,0.321014
4,7,99,-0.0366694
4,5,99,0.657151
4,3,99,0.140806
4,1,99,2.83679
1,20,98,0.477682
1,19,98,0.263552
1,18,98,0.209336
1,17,98,-0.391976
1,15,98,0.74759
1,13,98,0.861589
1,12,98,0.154145
1,10,98,0.603037
1,9,98,0.954778
1,7,98,0.682015
1,4,98,1.68809
1,3,98,1.57125
1,2,98,2.11032
1,1,98,2.43003
2,20,98,0.571111
2,18,98,0.257294
2,17,98,0.143495
2,16,98,0.28284
2,15,98,0.0881762
2,13,98,0.60447
2,10,98,0.633571
2,7,98,0.545983
2,4,98,1.64299
2,3,98,1.27619
2,2,98,2.19088
2,1,98,2.5088
3,20,98,0.710191
3,16,98,0.10247
3,15,98,0.0265763
3,13,98,0.430206
3,11,98,0.37236
3,10,98,0.282837
3,9,98,1.0501
3,8,98,0.554068
3,5,98,1.35959
3,4,98,0.966603
3,2,98,2.19342
3,1,98,2.58098
4,17,98,0
4,16,98,0
4,15,98,0
4,14,98,-2
4,13,98,0.158669
4,12,98,0
4,9,98,-2
4,8,98,0.266172
4,7,98,0.0615615
4,5,98,0.665817
4,3,98,0.188951
4,1,98,2.73252
1,20,97,0.618391
1,19,97,0.364994
1,18,97,0.240305
1,17,97,-0.0872014
1,15,97,0.628672
1,13,97,0.866333
1,12,97,0.421156
1,7,97,0.816046
1,4,97,1.79143
1,3,97,1.5613
1,2,97,2.27262
1,10,97,0.654184
1,1,97,2.39892
2,20,97,0.574536
2,18,97,0.286506
2,17,97,0.167145
2,16,97,0.297323
2,15,97,0.0986782
2,13,97,0.630879
2,12,97,0.431419
2,10,97,0.705763
2,6,99,1.08711
1,14,97,0.0737744
2,8,97,0.883367
2,7,97,0.603537
1,14,99,-0.0903219
2,6,97,1.15056
2,4,97,1.63906
2,3,97,1.54861
2,2,97,2.24587
2,1,97,2.56936
3,20,97,0.79769
3,16,97,0.0684296
3,15,97,0.0626137
3,13,97,0.412623
3,11,97,0.431155
3,10,97,0.576896
3,9,97,1.081
3,8,97,0.547773
3,5,97,1.32689
3,4,97,0.93811
3,2,97,2.15282
3,1,97,2.42499
4,17,97,0
4,16,97,0
4,15,97,0
4,13,97,0.0839927
4,12,97,0
4,9,97,-2
4,8,97,0.31627
4,7,97,0.341063
4,5,97,0.374824
4,1,97,2.72751
1,20,96,0.599011
1,19,96,0.345879
1,18,96,0.193875
