Down,Distance,Yardline,EPA
2,6,96,1.3043
2,8,96,0.898389
1,7,87,1.29804
2,7,91,0.823377
2,7,95,0.727434
1,4,87,1.95901
1,2,87,2.5391
2,2,91,2.51365
1,1,87,2.8498
2,1,90,3.13083
2,1,95,2.92866
2,13,87,1.00408
3,8,96,0.788475
4,8,97,0.473295
4,5,98,1.11229
4,1,99,2.83679
1,19,86,0.447558
1,17,86,0.663856
2,17,89,0.343425
2,17,88,0.277653
4,3,96,1.01771
2,16,87,0.438553
1,15,86,0.766727
2,15,90,0.606643
1,13,86,1.08873
1,7,86,1.19568
2,7,89,0.99379
2,7,90,1.021
2,7,87,0.980881
1,4,86,1.96626
2,4,92,1.83599
4,17,90,0.129507
1,3,86,2.14164
1,2,86,2.58677
2,2,88,2.69522
1,1,86,3.18352
4,3,97,1.09425
2,16,86,0.426497
2,13,86,0.956652
3,11,94,0.583668
3,10,96,0.615899
3,5,93,1.48955
2,20,87,0.606383
2,20,98,0.571111
1,19,85,0.386498
1,17,85,0.484306
2,17,87,0.362427
1,15,85,0.693947
2,15,93,0.371303
2,15,95,0.282024
2,14,93,0.435337
1,13,85,1.27424
2,10,94,0.769123
1,7,85,1.1607
1,4,85,1.82632
2,4,94,2.12451
2,4,95,2.18175
1,2,85,2.44308
1,1,85,3.25501
3,20,94,0.791719
2,16,85,0.496383
3,16,94,0.163929
2,13,85,0.896941
3,13,94,0.588776
3,13,92,0.55958
3,11,96,0.516323
3,8,97,0.686809
3,6,93,1.14565
3,4,93,1.54692
4,16,97,0
4,16,95,0
4,14,99,0
4,12,99,0
4,2,95,1.79542
4,1,98,2.73252
2,20,97,0.627338
1,19,84,0.39154
1,17,84,0.522033
2,17,86,0.497697
1,15,84,0.885656
2,15,92,0.439276
2,15,86,0.644624
2,14,92,0.441153
1,13,84,1.30894
2,9,95,1.17173
1,7,84,1.12985
2,7,88,0.959304
1,4,84,1.93527
2,4,90,1.90891
2,4,93,2.05646
1,2,84,2.61505
1,1,84,3.03347
2,1,94,2.97175
3,18,95,0.311176
2,16,84,0.478804
3,16,93,0.261367
2,13,84,0.859903
3,13,93,0.669896
3,11,93,0.579493
3,10,92,1.04292
3,9,91,1.21476
3,9,94,1.20784
3,8,94,0.945441
3,8,95,0.854808
3,8,92,0.738355
3,4,90,1.5072
3,2,94,2.23059
3,1,91,2.95495
3,1,97,2.50873
4,17,96,0.0962049
4,13,95,0.470088
4,13,99,0.359076
4,9,96,0.872545
4,9,97,0.871666
4,5,93,1.0989
4,1,97,2.72751
4,1,87,3.22212
2,20,96,0.651523
2,20,90,0.621817
1,19,83,0.36649
1,17,83,0.484159
2,17,85,0.450592
1,15,83,0.755105
2,8,95,1.00246
1,14,83,0.836404
2,14,91,0.423204
1,13,83,1.34515
2,9,86,1.17766
1,7,83,1.09908
2,7,85,1.09567
1,4,83,2.01236
2,4,86,1.86292
1,2,83,2.77314
1,1,83,2.97261
3,20,93,0.740343
3,20,97,0.79769
2,16,83,0.473849
3,16,92,0.305317
2,13,83,0.837878
4,18,97,0.196959
3,13,91,0.755892
3,10,93,0.691181
3,10,91,0.863677
3,10,94,0.613055
3,9,93,1.1411
3,9,96,1.13148
3,5,98,1.35959
3,5,90,1.29132
3,4,88,1.67465
3,2,93,2.2064
1,3,85,2.0778
4,17,95,0.0813929
4,12,94,0
4,12,97,0
4,9,94,1.02723
4,1,91,2.97944
4,1,96,2.80628
2,20,95,0.674935
2,20,91,0.611189
1,19,82,0.382885
1,17,82,0.61202
2,17,84,0.482471
1,15,82,0.735202
2,14,90,0.478473
1,13,82,1.22053
2,10,90,0.805006
1,7,82,1.29427
1,4,82,2.21051
1,2,82,2.52668
2,2,94,2.54454
2,2,93,2.52297
1,1,82,3.27244
2,1,85,3.00007
3,20,91,0.677323
3,18,93,0.339325
2,16,82,0.474123
3,16,91,0.38213
2,13,82,0.949463
3,11,92,0.554107
3,9,95,1.18055
3,8,89,0.917932
3,5,87,1.33551
3,5,95,1.37428
1,3,82,2.21668
4,17,94,0.0419996
4,16,94,0
4,16,92,0.0336674
4,12,93,0
4,12,96,0
4,5,92,1.30394
4,5,87,1.11209
2,20,94,0.676465
1,19,81,0.419737
1,17,81,0.627586
2,17,83,0.496507
1,15,81,0.890183
2,15,91,0.546772
2,15,89,0.529577
2,14,89,0.392509
1,13,81,1.39988
2,9,94,1.2007
2,8,85,1.11327
1,7,81,1.31665
2,7,84,1.16953
1,4,81,1.97756
2,4,91,2.08552
2,4,88,2.0254
2,4,89,2.10926
1,2,81,2.68437
2,2,89,2.62473
1,1,81,3.01851
2,1,92,2.97023
3,20,95,0.736195
3,18,92,0.330763
2,16,81,0.498945
3,16,90,0.351966
2,13,81,0.78432
3,11,91,0.668163
3,10,90,0.644574
3,10,89,0.824829
3,8,93,0.847271
3,8,90,0.941847
3,4,92,1.55088
3,2,91,2.31458
3,2,86,2.31066
3,7,98,0.380094
3,1,94,2.66318
1,3,87,2.29388
4,17,93,0.141801
1,3,89,2.08594
4,17,91,0.139968
4,16,91,0.0570528
4,16,93,0.0518449
4,13,96,0.102227
4,12,95,0
4,12,92,0
4,2,93,1.62615
4,11,96,0.306517
4,9,95,1.01484
4,3,91,1.01812
4,11,97,0.223622
4,2,92,1.66146
4,1,94,2.87624
1,19,80,0.41351
