Down,Distance,Yardline,EPA
1,20,99,0.105765
1,19,99,0.257947
1,18,99,0.170366
1,17,99,0.255129
1,15,99,0.167247
1,13,99,0.498536
1,12,99,0.281046
1,10,99,0.617079
1,7,99,0.973706
1,4,99,1.60951
1,3,99,1.55592
1,2,99,1.96063
1,1,99,2.63561
1,20,98,0.0532548
1,19,98,0.106638
1,18,98,0.163355
1,17,98,0.21779
1,15,98,0.317344
1,13,98,0.609135
1,12,98,0.336632
1,10,98,0.647313
1,7,98,0.913346
1,4,98,1.83485
1,3,98,1.66707
1,2,98,2.15793
1,1,98,2.62506
3,4,99,1.6117
1,20,97,0.150736
1,19,97,0.211729
1,18,97,0.108729
1,17,97,0.291769
1,15,97,0.522772
1,13,97,0.631004
1,12,97,0.542997
1,7,97,1.18627
1,4,97,1.80598
1,3,97,2.02036
1,2,97,2.14946
1,10,97,0.705401
1,1,97,2.60316
3,4,98,1.6806
4,14,99,0.154979
1,20,96,0.139708
1,19,96,0.20006
1,18,96,0.181243
1,17,96,0.312928
1,15,96,0.466187
1,13,96,0.565949
1,12,96,0.517783
1,7,96,1.05071
1,4,96,1.89873
1,3,96,1.87084
1,2,96,2.22536
1,10,96,0.671222
1,1,96,2.61505
3,4,97,1.59418
4,1,99,2.00943
1,19,95,0.201284
1,17,95,0.283684
2,16,97,0.0546141
1,15,95,1.03766
1,13,95,0.550515
1,7,95,1.05407
2,7,98,0.855724
1,4,95,1.86047
1,2,95,2.19192
1,1,95,2.77923
3,13,99,0.313719
3,13,98,0.188336
3,11,99,0.275089
3,4,96,1.75274
2,20,99,-0.00853289
1,19,94,0.280524
2,18,99,-0.00793338
1,17,94,0.599316
2,17,97,0.19277
2,17,98,0.221308
2,17,96,0.223152
1,15,94,0.535311
1,13,94,0.618537
2,13,98,0.491553
2,13,99,0.453837
2,8,99,0.687352
1,7,94,1.09486
1,4,94,2.01029
1,2,94,2.19587
2,2,97,1.95774
1,1,94,2.79538
3,13,96,0.540746
3,11,98,0.385893
3,8,99,0.333206
3,4,95,1.61858
3,2,96,1.92566
