Down,Distance,Yardline,Optimal Choice
1,20,99,0
1,19,99,1
1,18,99,1
1,17,99,1
1,15,99,0
1,13,99,1
1,12,99,1
1,10,99,1
1,9,99,1
1,7,99,1
1,4,99,0
1,3,99,1
1,2,99,1
1,1,99,1
2,20,99,0
2,18,99,1
2,17,99,1
2,16,99,1
2,15,99,1
2,13,99,1
2,10,99,0
2,8,99,1
2,7,99,0
2,4,99,1
2,3,99,1
2,2,99,1
2,1,99,1
3,20,99,0
3,16,99,1
3,15,99,0
3,13,99,1
3,11,99,1
3,10,99,0
3,9,99,1
3,8,99,1
3,5,99,1
3,4,99,0
3,2,99,0
3,1,99,1
4,17,99,2
4,16,99,2
4,15,99,2
4,14,99,1
4,13,99,1
4,12,99,2
4,9,99,1
4,8,99,1
4,7,99,1
4,5,99,1
4,3,99,0
4,1,99,0
1,20,98,1
1,19,98,0
1,18,98,1
1,17,98,1
1,15,98,0
1,13,98,0
1,12,98,1
1,10,98,1
1,9,98,0
1,7,98,1
1,4,98,1
1,3,98,1
1,2,98,1
1,1,98,1
2,20,98,1
2,18,98,1
2,17,98,1
2,16,98,0
2,15,98,0
2,13,98,1
2,10,98,1
2,7,98,1
2,4,98,0
2,3,98,1
2,2,98,1
2,1,98,1
3,20,98,1
3,16,98,0
3,15,98,0
3,13,98,1
3,11,98,1
3,10,98,1
3,9,98,1
3,8,98,1
3,5,98,0
3,4,98,0
3,2,98,0
3,1,98,1
4,17,98,1
4,16,98,1
4,15,98,2
4,14,98,1
4,13,98,1
4,12,98,1
4,9,98,1
4,8,98,1
4,7,98,1
4,5,98,1
4,3,98,1
4,1,98,0
1,20,97,0
1,19,97,0
1,18,97,0
1,17,97,0
1,15,97,0
1,13,97,0
1,12,97,1
1,7,97,1
1,4,97,0
1,3,97,1
1,2,97,1
1,10,97,0
1,1,97,1
2,20,97,1
2,18,97,1
2,17,97,1
2,16,97,0
2,15,97,0
2,13,97,1
2,12,97,1
2,10,97,1
2,6,99,1
1,14,97,1
2,8,97,1
2,7,97,1
1,14,99,1
2,6,97,1
2,4,97,1
2,3,97,1
2,2,97,1
2,1,97,0
3,20,97,1
3,16,97,0
3,15,97,0
3,13,97,1
3,11,97,1
3,10,97,1
3,9,97,1
3,8,97,1
3,5,97,1
3,4,97,0
3,2,97,1
3,1,97,1
4,17,97,2
4,16,97,2
4,15,97,0
4,13,97,1
4,12,97,1
4,9,97,1
4,8,97,1
4,7,97,1
4,5,97,1
4,1,97,0
1,20,96,0
1,19,96,1
1,18,96,0
1,17,96,0
1,15,96,0
2,8,98,1
2,6,98,1
1,14,96,0
1,13,96,0
1,12,96,1
1,9,96,0
1,7,96,1
1,4,96,1
1,3,96,1
1,2,96,0
1,10,96,1
1,1,96,1
2,20,96,0
2,18,96,1
2,17,96,0
2,16,96,0
2,15,96,0
2,13,96,1
2,12,96,0
2,10,96,1
2,7,96,1
1,14,98,1
2,8,96,1
2,6,96,1
2,4,96,1
2,3,96,1
2,2,96,1
2,1,96,1
3,20,96,1
3,16,96,0
