Down,Distance,Yardline,EP
2,15,91,1.22554
2,18,96,0.971052
2,17,96,1.19492
2,15,94,1.05598
2,17,98,1.28689
1,4,88,2.13076
1,1,88,2.09726
2,2,89,1.88587
3,18,94,0.741969
3,22,98,0
3,16,97,0.694114
3,9,92,1.18029
3,6,92,1.5245
3,5,91,1.62523
3,4,90,1.6652
3,6,93,1.53437
3,9,96,1.29112
3,8,95,1.28468
3,4,91,1.76673
4,2,93,1.43639
4,11,96,0.579492
4,5,90,1.07698
3,2,88,1.84331
4,3,89,1.14458
3,1,88,1.89754
4,3,90,1.3923
4,9,96,0.699395
4,1,88,1.58163
1,19,87,1.47621
1,17,87,1.55591
2,24,94,0
2,23,94,0
2,24,95,0
1,15,87,1.80603
2,27,99,0
2,24,97,0
1,13,87,1.83237
2,16,90,1.13775
2,14,90,1.51353
2,16,92,1.10101
2,13,90,1.62337
2,17,95,1.30825
2,13,93,1.61408
2,15,95,1.18913
2,14,94,1.57046
2,14,95,1.53603
2,15,96,1.35362
1,4,87,2.18027
1,2,87,2.00551
2,4,89,2.11705
2,10,95,1.4775
1,1,87,2.12346
2,4,90,2.25951
2,2,88,1.90685
3,27,95,0
3,25,93,0
3,20,97,0.564776
3,13,93,1.04201
3,6,88,1.55565
3,11,95,1.00909
3,9,93,1.14909
3,6,90,1.53846
3,10,94,1.02649
3,6,91,1.47894
3,5,90,1.61794
2,1,87,1.98837
3,9,95,1.01806
3,11,97,0.879018
4,16,98,0.156158
3,1,87,1.88636
4,5,91,1.01777
4,1,87,1.59925
1,19,86,1.44988
1,17,86,1.71939
2,23,92,0
2,23,93,0
1,15,86,1.93533
2,27,98,0
1,13,86,2.01523
2,20,95,1.07362
2,17,94,1.10393
2,16,95,0.96044
2,10,91,1.63416
1,4,86,2.18434
2,10,92,1.70481
2,13,96,1.49326
1,2,86,2.07664
2,10,94,1.56254
2,3,87,1.91597
1,1,86,2.19934
2,2,87,2.09693
3,27,94,0
3,22,96,0
3,20,96,0.555441
3,13,92,1.147
3,10,93,1.0969
2,1,86,2.04281
3,2,87,1.80172
3,11,96,1.09269
3,8,93,1.14958
3,4,89,1.66627
4,16,97,0.0373524
4,5,88,0.962166
3,1,86,2.02764
4,3,88,1.07276
2,11,97,1.35553
4,11,94,0.352678
4,2,87,1.45076
4,1,86,1.64877
1,19,85,1.38817
2,29,95,0
2,23,89,0
1,17,85,1.70184
1,15,85,1.87043
1,13,85,2.08486
1,4,85,2.09957
2,13,94,1.40453
1,2,85,2.33451
2,10,93,1.53361
1,1,85,1.97606
2,2,86,2.09518
2,4,88,2.34552
3,24,92,0
3,24,93,0
3,25,94,0
3,26,96,0
3,25,95,0
3,24,95,0
3,20,92,0.786316
3,18,93,0.811018
3,16,94,0.728745
3,13,94,0.99808
3,10,92,1.06264
3,11,93,1.17744
3,9,91,1.09348
3,4,86,1.87081
3,6,89,1.52427
3,5,88,1.71767
2,1,85,2.0344
3,5,89,1.63255
3,4,88,1.99163
3,8,92,1.14258
3,2,86,1.86324
4,23,97,0
4,21,98,0
1,3,85,2.14907
4,17,95,0.12598
4,17,96,0.27041
4,13,95,0.477725
3,1,85,1.84116
4,5,89,1.07652
4,14,98,0.592992
4,3,87,1.12145
2,11,96,1.52016
4,2,86,1.7575
4,11,95,0.520824
4,1,85,1.48064
2,30,94,0
1,19,84,1.7302
2,29,94,0
2,27,92,0
1,17,84,1.69743
2,24,93,0
1,13,84,1.88789
2,20,91,1.04525
2,20,93,1.01843
2,20,94,0.995446
2,16,91,1.17157
2,16,94,1.18016
1,4,84,2.05488
2,13,95,1.43112
2,4,86,2.20304
1,1,84,2.01882
2,4,87,2.24099
2,3,86,1.83712
2,2,85,2.01487
1,15,84,1.81006
3,34,98,0
3,28,93,0
3,28,95,0
3,26,95,0
3,24,94,0
3,16,95,0.608195
3,20,99,0.347822
3,9,89,1.45674
3,9,90,1.0802
3,10,91,1.11614
3,11,92,1.08029
2,25,96,0
2,1,84,2.07768
3,4,87,1.85975
3,2,85,2.01064
3,11,94,1.01561
3,8,91,1.35846
1,13,93,1.82443
4,31,97,0
4,29,95,0
4,23,98,0
4,16,93,0.291517
4,21,99,0
4,16,95,0.210301
4,12,93,0.428898
4,5,86,1.16303
4,12,94,0.632619
4,5,87,1.19654
3,1,84,1.94043
4,3,86,1.16072
4,1,84,1.65221
1,19,83,1.68631
1,17,83,1.77115
2,23,90,0
1,15,83,1.8062
2,23,91,0
2,27,95,0
2,8,95,1.68898
1,14,83,1.71556
1,13,83,1.95857
2,20,92,1.18911
2,17,89,1.35225
2,17,91,1.34855
2,17,92,1.27983
2,20,96,0.958441
2,10,88,1.68227
1,4,83,1.99317
2,4,84,1.96104
1,2,83,2.3363
2,7,88,1.86306
1,1,83,2.14375
2,2,84,2.02956
2,3,85,1.96876
3,34,97,0
3,28,92,0
3,28,94,0
3,22,89,0
3,24,91,0
3,26,94,0
3,20,93,0.503957
3,16,93,0.758392
3,20,98,0.456967
3,8,86,1.31974
3,10,89,1.23864
3,10,90,1.55074
3,2,84,1.9709
3,5,87,1.68311
3,8,90,1.27194
1,13,92,1.5327
4,31,96,0
4,24,95,0
4,18,94,0.142714
4,12,89,0.730241
4,13,91,0.422757
4,16,94,0.267522
4,13,93,0.55122
4,12,92,0.437086
4,13,94,0.328652
3,1,83,2.0034
4,3,85,1.22614
4,1,83,1.66111
2,30,92,0
1,19,82,1.60271
2,27,90,0
1,17,82,1.63559
2,24,90,0
1,15,82,1.75924
2,24,91,0
2,27,94,0
2,22,90,0
1,13,82,1.9268
2,15,84,1.4605
2,13,85,1.62934
1,9,82,2.0702
3,27,91,0
1,7,82,2.11032
2,14,89,1.59612
2,15,92,1.28633
2,9,86,1.74433
1,4,82,2.20673
2,10,89,1.53317
1,2,82,2.11099
2,10,90,1.74613
1,1,82,1.99159
2,3,84,1.91642
2,4,85,2.02665
2,2,83,2.04362
1,7,83,1.88471
3,27,90,0
3,28,91,0
3,26,91,0
3,25,92,0
3,20,90,0.587191
3,18,91,0.770912
3,16,91,0.855939
4,18,99,0
3,13,89,1.05495
3,16,92,0.686829
3,18,95,0.748549
4,18,97,0.177591
3,13,91,1.02912
3,9,87,1.24371
3,9,88,1.39004
2,1,82,2.15211
3,4,85,1.87641
3,8,89,1.26291
3,5,86,1.62201
3,2,83,1.95775
4,29,93,0
4,29,94,0
4,23,96,0
1,3,84,2.06523
4,17,92,0.279087
4,12,87,0.735965
4,16,92,0.281346
4,12,91,0.445444
4,5,85,0.923892
3,1,82,2.16834
4,11,98,0.36237
4,2,83,1.31651
4,3,84,1.28949
4,1,82,1.5233
1,19,81,1.66735
2,27,89,0
1,17,81,1.79299
2,27,91,0
2,24,88,0
2,24,89,0
1,15,81,1.78825
2,27,93,0
1,13,81,1.96356
2,24,92,0
2,15,83,1.44554
2,17,86,1.36118
2,17,90,1.30985
3,27,92,0
1,7,81,2.1188
2,15,89,1.30294
2,7,82,1.88854
2,9,85,1.86577
2,10,86,1.66377
1,4,81,2.17663
2,13,91,1.44588
2,15,93,1.19692
1,2,81,2.2877
1,1,81,2.23965
2,2,82,2.03318
3,34,95,0
3,28,90,0
1,7,84,1.95678
3,27,89,0
3,24,89,0
3,25,91,0
3,18,90,0.723242
3,16,90,0.796147
3,9,84,1.38977
3,22,97,0
4,18,98,0.156341
3,13,88,1.39389
4,18,96,0.157115
3,13,90,1.18057
3,10,88,1.22743
2,1,81,2.07302
3,8,88,1.36727
3,5,85,1.53099
3,2,82,2.00204
3,11,91,1.14533
