Down,Distance,Yardline,EPA
4,17,97,-1.57083
4,17,98,-1.28484
4,2,92,0.067095
4,11,97,-1.58029
3,2,89,0.742698
4,3,90,-0.529759
3,1,89,0.8795
4,8,96,-1.44702
4,3,91,-0.681058
4,1,89,0.43952
1,19,88,0.281517
2,24,94,0
1,17,88,0.46097
2,23,94,0
2,23,95,0
1,15,88,0.769382
2,20,93,-0.244836
1,13,88,0.843205
2,20,95,-0.265219
2,10,92,0.337403
2,15,97,-0.0824969
1,4,88,1.09847
2,10,94,0.394084
1,1,88,1.05662
2,2,89,0.884167
3,22,98,0
3,13,94,-0.546546
3,16,97,-0.931602
3,10,93,-0.442711
3,9,92,-0.499567
3,13,98,-0.366128
3,8,94,-0.396127
3,11,97,-0.77275
4,21,96,0
4,12,95,-1.26842
4,2,93,-0.0355459
4,11,96,-0.983297
4,5,90,-0.66833
3,2,88,0.856498
3,24,98,0
3,1,88,0.935552
4,5,92,-0.901706
4,9,96,-1.54369
4,1,88,0.251164
1,19,87,0.407098
2,24,93,0
1,17,87,0.597086
2,24,95,0
1,15,87,0.759466
2,27,99,0
2,14,91,0.218542
2,18,97,-0.57687
2,15,95,-0.0630405
2,14,94,0.167821
2,13,95,0.260637
1,4,87,1.00211
2,7,91,0.638086
1,2,87,1.13756
2,10,95,0.113592
2,4,89,1.01281
1,1,87,1.1807
2,4,90,1.05113
2,2,88,0.998729
3,27,95,0
3,22,97,0
3,16,96,-0.875319
3,8,92,-0.141964
3,6,91,0.0865311
3,11,96,-0.697189
2,1,87,1.03294
3,5,91,0.291755
3,9,95,-0.616769
3,4,90,0.618402
4,17,96,-1.43857
4,16,98,-1.37147
3,2,87,0.795412
3,1,87,0.828083
4,5,91,-0.657974
4,3,89,-0.950704
4,1,87,0.209507
2,29,95,0
1,19,86,0.619126
1,17,86,0.529885
1,15,86,0.74624
2,20,91,-0.0737275
1,13,86,0.979086
2,15,92,0.0951203
2,16,94,-0.297424
2,15,93,-0.169992
2,15,94,0.0701673
2,14,95,0.0556738
2,13,94,0.20117
1,4,86,0.989075
2,10,93,0.148869
2,4,87,1.05984
1,2,86,1.11678
1,1,86,1.05329
2,2,87,1.07072
3,27,94,0
3,22,96,0
3,13,92,-0.783896
3,6,90,0.347558
2,1,86,1.05128
3,9,94,-0.367726
3,5,90,0.423923
3,4,89,0.486605
3,8,93,-0.297629
4,16,97,-1.5893
4,5,89,-0.893406
